FROZEN | Written by Adam Green January 28, 2009
X | Parker takes off her glove to light a cigarette.As she struggles with the lighter, the glove falls out of herlap and lands on the ground below them.
LYNCH | 
A | See? That's where smoking gets you.
PARKER | Shut-up.
M | She keeps struggling with the lighter but eventually givesup. She throws the cigarette away and puts her exposed handback in her pocket.The snow falls around them.Dan pushes the safety bar up.
D | PARKER (cont'd) -what, what are you doing?
DAN | I'm jumping. I'm gonna get help.
PARKER | No. No, don't leave me up here.Dan takes her face in his hands. Tenderly. And probably forthe first time...correctly.
DAN | Parker, I can do this. Even if I get hurt, as long as I can get to the bottom I....your skin is so red. You're getting frost bite.
47. | 
LYNCH | You can't get frost bite that fast. It's only been- what, like...how long has it been? A few hours, tops?Dan inspects Parker's face. It's tough to see in the dark,
PARKER | (quietly)
R | Don't leave me.
DAN | I'll get help. Lynch is here. He'll be with you.
A | Lynch is looking down below them. It's far.
LYNCH | Dan, it's a far drop. I don't know.
LYNCH | 
D | If we can wait `til morning I bet someone will come up here. Like a snow groomer or some shit.
DAN | 
E | Really? And why would they come groom the snow on a day when they aren't open, Joe? A day when they still have a full work week before they open again?Lynch says nothing. DAN (cont'd) I can do this.He positions himself to try and jump off. Parker grabs hisarm.
PARKER | No, no, no. Please don't jump down there, Dan. You'll get hurt.
48. | 
LYNCH | How are you going to find your way in the dark?
DAN | I'll stick to the trail. I'll ride to the bottom.
X | (then) You don't get a fresher run than this, right?Dan drops his snowboard down.
R | It lands sticking up straight in the snow. DAN (cont'd)
OK. | 
A | Parker and Lynch look back at him. They don't know what tosay.Lynch tries to grab on to Dan's arm.
DAN | One.
D | Parker's tears are freezing on her cheeks as the seconds tickby. DAN (cont'd) ...Two.
E | Lynch takes a deep breath. When enough time has elapsed tothink Dan's gonna jump, he suddenly looks up at Lynch insteadof jumping. DAN (cont'd) Remember when I was saying how I jumped off one of these things before?Lynch stares back at him. DAN (cont'd) I totally lied. I'm scared shitless right now.Lynch musters a laugh. It's forced, but it's a laugh.
49. | Dan laughs back at him. He turns to face Parker. She tries to smile but is frozen with fear. Dan whispers to her... DAN (cont'd) (whispered)
X | You're gonna be OK, baby. ...and he is gone. From his point of view (the camera pointed down at his feet)
R | we drop (without cutting) from the chair all the way to the frozen ground below.
CUT TO: | 
AHHH!!     OH MY GOD!   AHHHH!!!! | 
CUT TO: | 
40   EXT. CHAIR LIFT - CONTINUOUS                                  40 | 
D | Parker calls down to him.
PARKER | DAN! DANNY? Oh my god!
E | Dan's cries turn to quiet breaths below them. It is tough for Parker and Lynch to make out what exactly is happening.
LYNCH | Dan, say something. Are you alright? More quiet breaths from below. Finally...
DAN (O.C.) | My legs. I broke my fucking legs.
LYNCH | Oh, shit.
50. | 
PARKER | Can you move? Dan? (she starts to panic) Hold on. Hold on, baby. Lynch stops her.
PARKER | I gotta...I have to get to him.
CUT TO: | 
DAN | Stay there. Don't get off the
D | chair.
PARKER (O.C.) | How bad is it?
E | Dan can see that his legs are shattered and that he is bleeding. Bone protrudes from his bloody ski pants.
DAN | It's bad. It's really fucking bad. (starting to cry)
SOMEONE HELP US! PLEASE! | 
CUT TO: | 
42   EXT. MOUNT HOLLISTON - CONTINUOUS                           42 | Dan's screams can barely be heard from this distance. The blanket of snow muffles all sounds of life on the mountain.
43   EXT. CHAIR LIFT - CONTINUOUS                                43 | Parker sobs into Lynch's shoulder.
LYNCH | OK. Alright. You gotta stay
X | strong for me, Parker. Can you do that? He looks every which way, trying to come up with a solution.
R | LYNCH (cont'd) If we go to pieces we're never gonna get through this, OK?
PARKER | 
A | What are we gonna do? We're gonna die up here.
LYNCH | (to Dan below) Buddy, can you move at all?
45   EXT. CHAIR LIFT - CONTINUOUS                                45 | 
CUT TO: | 
SLIDE DOWN THE FUCKING MOUNTAIN! | 
LYNCH (O.C.) | Alright, alright. Um...?
52. | 
DAN | ...so much blood.
CUT TO: | 
47   EXT. CHAIR LIFT - CONTINUOUS                                     47 | 
PARKER | Here...
A | She takes off her scarf and tosses it below. It blows away into the trees. It doesn't even make it halfway.
M | PARKER (cont'd)
SHIT! | Lynch removes his scarf and balls it up.
LYNCH | Here you go, Dan. I'm throwing mine down.
LYNCH | 
E | Just feel for it, OK? Here it comes... He drops the balled up scarf.
CUT TO: | 
48   EXT. BELOW THE CHAIR - CONTINUOUS                                48 | The scarf lands right next to Dan.
DAN | What do I do with this?
53. | 
LYNCH (O.C.) | Tie it over your leg. Tie it off above wherever it's bleeding. Like a tourniquet thing. Dan fumbles with the scarf and ties it just above his right knee as tight as he can.
CUT TO: | 
DAN (O.C.) | No! Don't you take off your coat!
M | You need it!
PARKER | No, I'll be OK. I can huddle next to Lynch. Please-
CUT TO: | 
DAN | -Parker, keep your coat on.
E | Dan takes off his snowboarding gloves and ties the elastic strings together. His fingers are so numb that it takes several tries. Once tied, he tries to stretch the gloves around his left knee, but it is useless. DAN (cont'd) Shit!
LYNCH (O.C.) | Dan, buddy. You gotta let us throw something down so you can stop the bleeding.
54. | 
DAN | I...I've got it.
PARKER | Are you sure. Dan's left leg is definitely still bleeding.
R | Moments pass with only their breathing.
LYNCH (O.C.) | Are you sure you can't try and get
A | down the hill, buddy? Dan falls onto his back, panting from the pain. He struggles to flip himself over, but it hurts too much.
DAN | 
M | No, man. I can't move. I can't move.
CUT TO: | 
51   EXT. CHAIR LIFT - CONTINUOUS                                 51 | 
D | Lynch holds his head.
LYNCH | Alright. Hold on.
E | Once again, Lynch starts looking all around. Above, below. LYNCH (cont'd) Maybe...if I could climb up to the lift cable? Maybe I could like, scale across to the other chairs until I find one that isn't quite so high up from the ground?
PARKER | You think you can pull yourself across that many chairs? Lynch looks back at her.
LYNCH | I can't even do a pull-up.
55. | 
DAN (O.C.) | You never even tried to do a pull up you asshole. You had your Mom write you a note to get out of climbing the rope in gym cause you're a pussy.
DAN (O.C.) | 
R | You can too. Remember Jenny Bluth? She fucking did it. You can do it.
LYNCH | Even if I made it across to the
A | next chair...how many more would it take before I found one closer to the ground?
DAN (O.C.) | Every lift pole has an emergency
M | ladder on it.They look forwards and backwards.The chair behind them is not near the pole.But the one behind that one is.
LYNCH | Shit, that's far.He and Parker just stare at it. LYNCH (cont'd) Just. Just give me a second.He starts taking deep breaths. Trying to psyche himself up.
PARKER | What if you fall, too?
56. | 
LYNCH | Parker...if we just sit here, we're gonna freeze to death.
PARKER | Maybe...maybe in the morning someone else will come up here.
X | Maybe, they'll need to do maintenance on the lift or something, you know?
DAN (O.C.) | 
R | What's going on up there? You guys?
PARKER | We're right here, baby.
M | maybe I can jump to it.
CUT TO: | 
52   EXT. BELOW THE CHAIR - CONTINUOUS                           52 | Dan is in agony.
CUT TO: | 
PARKER | Just hang in there, Dan. It's gonna be OK. Lynch starts to maneuver himself in the chair. Slowly he pushes himself up so that he is sitting on the chair back and holding onto the connecting post. The chair swings back and forth in the wind. Above him it is a solid 5 feet before the chair arm connects to the wire.
57. | 
LYNCH | It's funny. But I was never afraid of heights, until like...right now.
PARKER | What can I do to help?
R | Parker maneuvers herself to hold Joe's legs..Joe tries to move into a standing position, but panics.
A | LYNCH (cont'd) OK...OK...just give me a second.
PARKER | I think we should wait til morning. We can make it a few more hours.
D | As Lynch gets ready to try and stand again...we hearsomething in the surrounds.They freeze.
E | Again, a sort of "moan" rings in the distance.
PARKER | Baby, is that you?
DAN (O.C.) | What?
LYNCH | Shh!They listen again.
54   EXT. BELOW THE CHAIR - CONTINUOUS                           54 | This time, clear as day...a WOLF HOWL.
DAN | Oh, motherfucker.
55   EXT. CHAIR LIFT - CONTINUOUS                                55 | 
R | Lynch tries to control the panic.
LYNCH | It's alright man. It's just a
A | coyote or something. They're scared of people. It probably won't even come anywhere near us,
OK? | 
DAN (O.C.) | 
M | That sounded like a fucking wolf.
LYNCH | Just relax. When's the last time you heard of a wolf attack in New England?
CUT TO: | 
E | is becoming.
DAN | I read about one on-line somewhere last year. Fuck. Fuck. Fuck.
CUT TO: | 
59. | 
PARKER | It could be worse, right?
DAN (O.C.) | How the hell...could this be worse?Long pause...
R | laugh. It's uncomfortable and forced as hell. But it's alaugh.
LYNCH | Parker- coming through with the
A | tension breaker, look out! (to Dan) She's alright, Walker. Your girl is alright.He focuses on the task at hand again.
M | LYNCH (cont'd) OK...here we go.Slowly he pushes up on the back of the chair again. With onehand on Parker's shoulder and another on the back post of thechair, Lynch gets to his feet. Looking down at the drop, heinstantly crouches down again.
D | LYNCH (cont'd) Holy shit, is that high up.
PARKER | 
E | What can I do?
LYNCH | Nothing. Just be quiet.He psyches himself up again and starts to rise up.
DAN (O.C.) | You can do this, Lynch. You've got it.
LYNCH | Please stop talking.He puts one foot up on the top of the chair back...but itslips off to the side.
60. | LYNCH (cont'd) Woa-! The whole back of this thing is ice. Together, he and Parker start hitting the chair back.
CUT TO: | 
R | protection.
LYNCH (O.C.) | Hold on, down there. I think once I can stand on the back- I should
A | be able to reach the top. More chunks of ice shower down around Dan. Finally the falling ice subsides.
M | Dan takes his gloves away from his face...only to freeze in horror. Not even 10 feet away, stands a WOLF. Silently the wolf watches him from the bushes. Lightly growling.
E | DAN (cont'd) (really loud)
YOU GUYS! | 
CUT TO: | 
DAN (O.C.) | There's a wolf down here.
61. | Lynch and Parker look down. From their POV they can see that the wolf is standing right next to Dan, watching him. No fear.
PARKER | (gasps) Oh shit!
60   EXT. BELOW THE CHAIR - CONTINUOUS                               60 | 
R | Dan doesn't take his eyes off of the wolf. He is shaking in fear.
DAN | 
A | What the hell do I do? The wolf sniffs at the air and then growls again, this time baring it's teeth. It smells the blood. DAN (cont'd)
GET AWAY FROM HIM!!! | The wolf steps back and snarls.
E | THWOCK! Parker's snowboard comes down and skids away into the trees, pushing the wolf further back. The wolf darts back into the bushes. Though it can no longer be seen, we can hear it moving away through the brush and back into the darkness. Growls come from the surrounding bushes as the wolf angrily retreats.
DAN (O.C.) | 
X | Yeah. I'm alive. Lynch slides his remaining pole in between the bars on the chair back and rests it there.
LYNCH | It's just a dog. That's all it is.
M | He won't be back.
PARKER | Are you keeping warm down there?
CUT TO: | 
DAN | As warm as I can. (then)
E | I can't feel my legs anymore. Is that bad? I mean, it doesn't hurt as much...but that's bad right?
CUT TO: | 
63. | He looks closely at Parker's face. The tip of her nose andthe tops of her cheeks look as if there is black soot onthem. LYNCH (cont'd) Hey...go like this.
X | He motions wiping his face.Parker follows suit, but winces in pain.
PARKER | 
R | Ow! It feels like...like sunburn.Pieces of her chapped skin are stuck to her icy glove.
LYNCH | 
A | I'm not an expert but I think that's frost bite.
PARKER | What?
PARKER | I don't..I can't see anything. I
D | don't know, it's too darkShe starts rubbing at her cheek again.
LYNCH | 
E | No! Stop touching it. Don't touch it.
PARKER | But it itches now...
LYNCH | I know- but if you keep touching your face it's gonna rub off.Parker is terrified. LYNCH (cont'd) Just try and cover your face. Try and stay warm.
64. | Staying warm is absolutely impossible. Parker hides herexposed hand deeper inside her wet jacket.Icicles dangle from the bottom of the chair and theirclothing.
DAN (O.C.) | 
X | (winded) You gotta move faster up there.
LYNCH | I'm trying man, I'm trying.
R | Lynch slowly lifts himself up onto the back of the chair,which bends at an awkward angle.From above him we can see the long drop down, and as he
A | slowly starts to maneuver his body up to the top of the chairarm- the height looks `stomach droppingly' scary.
PARKER | Careful.
DAN (O.C.) | Lynch. I think the-
D | Silence.Lynch gets his gloved hands around the top of the cable. Itis frozen over with a thick layer of ice.
E | The distance to the next chair seems about 10 times as farnow. LYNCH (cont'd) (to himself) I can do this. If Jenny Bluth could climb the rope, I can totally do this.Slowly, he wraps his arms around the wire, now with his fullbody weight on the back of the chair.The bolt holding the arm into place on the cabling starts tocreak. It bends slightly, but seems to hold firm.
65. | LYNCH (cont'd)
OK.    OK.   OK. | He starts to pull himself up onto the cable.
PARKER | Don't look down.
X | With one hand in front of the other, Lynch hoists himselfabout two feet off of the chair and into the air.
LYNCH | 
R | (gritted teeth) Slippery.
PARKER | Do you got it?
M | The cable clangs somewhere to the front and back of Lynch.The noise is almost refreshing in the silent ice coveredwilderness.With another deep breath, Lynch moves another two feet outover the sky. He is straining hard.
D | Another two feet out. He looks down for the first time.He sees something that scares the shit out of him. LYNCH (cont'd)
E | Oh god.
PARKER | What's wrong?
LYNCH | Please no. Please no...He starts to pull himself back to the chair, quickly.
DAN (O.C.) | Come on, Lynch! You had it!Lynch gets his foot on the icy chair back and tries tobalance his weight on it.
66. | SWISH! His foot slips off of it and he almost falls...but Parker grabs onto his coat.
PARKER | I got you. Lynch scrambles into the chair and huddles next to Parker.
X | PARKER (cont'd) What's wrong? He looks at her, icy tears in his eyes. His face is white.
R | PARKER (cont'd) What happened? Finally Lynch grabs her face in his hands. He gets close to
A | her.
LYNCH | Don't look down.
PARKER | 
M | What? He grabs her head forcefully, trying to cover her ears.
LYNCH | Don't look down there, Parker. The camera booms up and above them. As it tilts down at
D | them...we reveal Dan splayed out on the ground below. Out of the darkness of the bushes...a pack of SIX WOLVES slowly and silently descends on him from all angles.
CUT TO: | 
64   EXT. BELOW THE CHAIR - CONTINUOUS                             64 | Dan hears the first growl.
DAN | Oh shit. Oh shit. The hungry wolves circle around him. The smell of his freezing blood makes them drool.
67. | DAN (cont'd) (yelling up)
LYNCH. | 
CUT TO: | 
LYNCH | 
R | (fighting tears)
YEAH, MAN. | 
DAN (O.C.) | (crying)
DAN (O.C.) | 
D | Lynch holds her head in a vice grip. He presses his forehead into hers. Her tears and snot overflow onto his gloves.
LYNCH | 
E | Shhhh. Don't listen to it. Don't listen. Don't listen. As we push in tight on the two of their faces, below them we hear the wolves begin their attack on their defenseless prey. First one growl and a bite. Dan shrieks in pain.
DAN (O.C.) | Don't let her look! Below we can hear him put up a fight. But the attacks and bites get more frequent and his screams even more painful.
68. | DAN (O.C.) (cont'd) Don't look! Don't you fucking look down here! The sound of several wolves attacking in unison over powers his cries.
X | Lynch continues to hold his hands over Parker's ears and keep her eyes pointed at his as the sounds of Dan's demise echo through the night. The sounds of clothes being shredded, flesh being torn, and
R | bones popping from their joints creates a chorus of pain below. Dan doesn't scream as much as does cry out in pain and agony.
A | The camera never sees it. Only Lynch and Parker's faces. After what seems to be an unbearable minute...the sounds from below begin to dissipate. Eventually Dan's remains can be heard dragging away.
M | Silence once again. Finally, Lynch let's go of Parker's head. He sobs into his own frozen gloves as Parker hysterically screams out into the night.
CUT TO: | 
E | in the distance, birds take off in fear.
DISSOLVE TO: | 
67   EXT. CHAIR LIFT - MUCH LATER                                  67 | Lynch and Parker sit on the frozen chair, shivering. They are now in the devastating silence that has fallen after what must have been endless screaming and crying. Only the occasional sniffle lets us know that they are even awake. Finally Lynch breaks the silence.
LYNCH | I should...try and...
69. | He starts to try and sit up on the back of the chair again tocontinue his climbing effort.
PARKER | (emotionless) Why did you let him jump?
X | Lynch turns and looks at her in disbelief.
LYNCH | You can't be fucking serious.
LYNCH | He said he could do it. You didn't
A | try and stop him! (then) I can't believe this?! You're blaming me?
PARKER | 
M | I'm not...I'm not blaming you.
LYNCH | You're his girlfriend! I didn't see you throwing yourself in front of him!
PARKER | 
D | He wasn't going to listen to me.
LYNCH | Oh, but he would have listened to me? I said it was a bad idea! I
E | said it was too far a drop! But I didn't hear any better ideas out of you except for crying about it! Don't you fucking blame me! You've been his girlfriend, for what? A year maybe? I've known him my whole fucking life!
PARKER | But you... You should have...
LYNCH | What? Say it.Parker looks at him, uncertain.
70. | LYNCH (cont'd) Say it! It should have been me?
PARKER | I didn't say that.
LYNCH | 
X | But you want to! It's OK. I get it. It should have been me down there cause who gives a fuck about me, right?
R | Parker feels terrible. She puts her hand on his shoulder.
PARKER | No, no, I-
A | Lynch shrugs her hand off of him.
LYNCH | You know what? If we hadn't spent the whole fucking day on the bunny slope watching you fall on your ass
M | we would have gotten some real runs in and we could have just gone home!
PARKER | I'm sorry.
LYNCH | 
D | You're sorry? Maybe if you hadn't fucked with our thing... maybe if you had just stayed home and not forced yourself into every aspect of his life... maybe my best friend
E | wouldn't be dead right now!
PARKER | That's not fair!
LYNCH | And it's not fair that my best friend is DEAD!Parker begins to sob.
PARKER | I'm sorry! I didn't mean it! I'm just- I'm just-
LYNCH | -Fuck you.
71. | Lynch is numb. He sits expressionless. Seething. In her crying, Parker slowly keeps moving towards him. Like a puppy who knows they did something wrong and only wants you to love it again. Finally she gets next to him and buries her head in his
X | chest, letting it all out. Eventually, Lynch can't help but feel compassion for her. He puts his arm around her.
R | LYNCH (cont'd) (quietly) I'm sorry. I'm sorry, Parker.
D | They only speak to be speaking.
5020? | 
LYNCH | 5022. 429-5022. I'm so gonna call that girl when we get home. And you know what? I'm gonna marry her. No messing around. I'm just gonna be like "Hey Shannon, it's me Joe from the chair lift. Will you marry me?" And then we're gonna get a house and have 2 kids and a dog named Steve.
72. | Parker's face is expressionless.
PARKER | Who's gonna pay for the house.
LYNCH | She will. Shannon's got a great
X | job.
PARKER | What does she do.
R | Lynch makes something up...but continues to have no expression in his words. Despite his talk, his spirit is shattered.
LYNCH | 
A | She...an orthodontist.
PARKER | Orthodontists make a lot of money.
LYNCH | 
M | Yup.
PARKER | I bet you guys will be really happy.
E | of food" on the chair high above. Another wolf lays down in the snow by a tree. They wait like vultures.
69   EXT. CHAIR LIFT - CONTINUOUS                               69 | Silence. Then...
PARKER | Who names their dog "Steve".
LYNCH | I will.
73. | 
PARKER | Steve's a "people" name.
LYNCH | Says who?
PARKER | 
X | You don't like walk into someone's house and have them say "Here's my dog Steve."
LYNCH | 
R | Why not? Steve's a good name for a dog.
PARKER | "Here, meet my cat Chris."
LYNCH | What kind of pizza should we get at Papa Gino's?
D | Parker doesn't hear him. As she continues, wet snow startsto fall around them and the icy wind starts to pick up.
PARKER | 
E | The poor thing. She's just a puppy. She won't understand that I died. She's gonna think I left her. That I forgot about her. All she wants is for me to come home. She's probably waiting by the door for me right now. Every sound she hears in the hallway she's probably cocking her little head to the side, waiting to see if I'm going to walk in. But I won't. I won't ever walk in. And Shayna's going to starve to death. The poor thing is gonna wither away and die waiting by the door for me and it's all my fault.
74. | 
LYNCH | She won't starve to death and you're not going to die.
PARKER | No one else has a key to my place.
R | (beat) And so will you. So will we.He puts an arm around her and huddles closely trying toshield the wind.
PARKER | Dan and I were spending Christmas with my parents this year. We won't be there though. (then)
D | I want to see my Mom and my Dad. (then) I want to open presents in the morning and then wait for my grandmother to show up so we can
E | eat. She's always late. But she brings all of the desserts. And she makes this special hot apple cider thing with cinnamon and nutmeg. It's so good. And after dinner my Dad always passes out on the couch `cause it's his one day off and he's had too much eggnog. And my sister, my Mom, and I watch A Christmas Story until the marathon is over. And that's how you know Christmas is really over. When Ralphie gets his Red Rider carbine-action two-hundred-shot range model air rifle that last time and they go back to their regular programming.
X | The camera pulls back wider and wider until their chair is lost in the wet snowfall and darkness. Slowly we fade to black as the wind howls and thunder gently rolls...
FADE IN: | 
M | together, but neither is moving. In fact, at a first glance, one might think they are both human popcycles. The dark splotches of frost-bite on Parker's nose and cheeks have now grown to what almost looks like patches of black fungus on her skin.
D | Lynch has the start of his own frost-bite on his ears and nose. Slowly, Parker's eyes flutter and she awakens.
E | Her eyes search around as the realization that this was not all just a bad dream sinks in. She adjusts in her seat and feels something pull. She winces and looks down. Slowly the camera follows her stare down to reveal her bare hand, gripping the icy safety bar. She pulls...but her skin is stuck to the frozen metal. Beginning to panic, she jerks her hand hard, taking the bar up about half an inch with it.
PARKER | Uhh...
76. | Painstakingly slow, she begins to peel her hand off of thebar.A sound that resembles `jeans slowly tearing' can be softlyheard as she moves her arm forward and separates her handfrom the skin that is attached to the metal.
X | After what feels like an eternity, she gives her hand onelast jerk, freeing it from the safety bar. PARKER (cont'd) Ruuugh!
R | Her movement startles Lynch awake, and he bolts upright as iffrom a `falling nightmare'.Discombobulated, Lynch turns back and forth frantically
A | trying to get his bearings.Parker is crying and holding her bloody hand, PARKER (cont'd) Shhhh.
M | Lynch, bug-eyed, takes in the world around him.A fresh coat of snow has covered everything in several inchesof peaceful white bliss.Below them, the snow has completely covered Dan's remains.There is nothing left to show that there was ever even a
D | struggle.Parker hides her bloody hand back inside of her coat, awayfrom Lynch's eyes.
PARKER | What?
LYNCH | Your frost-bite. It's getting...worse.She starts to touch her face.
77. | 
PARKER | Really? How bad is it?Lynch stops her.
LYNCH | Don't. It's bad.
LYNCH | 
R | Just don't touch your face, OK? When we get out of here, we'll get you to a doctor right away and they'll fix it.
LYNCH | They'll fix me, too then. Just
M | don't touch it.He looks around, front to back. In daylight it's easier tosee the other chairs.His breath blows out of his body in huge plumes of mist. LYNCH (cont'd)
D | Well, it's morning. Maybe someone will come up here now.
PARKER | For what?
PARKER | No one's gonna look for me. I skip class all the time. By the time anyone notices I'm gone I'll be dead.
LYNCH | Can you please just think ONE positive thing? Please!
78. | 
PARKER | Besides. No one knows we're here.
LYNCH | (to the sky)
HEL-LO!!! WE NEED HELP!!      HELP!!! | 
X | His voice echoes off of the frozen trees, almost as iftaunting him.He turns around to look at the chairs behind him.
R | LYNCH (cont'd) Alright. Look. If I can get to that chair...two back...I could make it to the ladder on that pole. I think I could make it down.
A | Parker doesn't speak. LYNCH (cont'd) Help me.
D | one is coming" but he decides there's no harm in waiting justa little while longer.Lynch tries to yell for help again, though his soar throat ismaking it almost impossible to scream.
UP HERE!   SOMEONE HELP US! | Once again...only echoes.He re-settles in his chair.
PARKER | I just wish I could stand up. Get out of this position for a minute.
LYNCH | If you want, you can stand on the chair and I can hold onto you.
79. | 
PARKER | No. I can't.
LYNCH | Well, if anything's gonna get you over your fear of heights, it's this.
CUT TO: | 
M | An empty lodge. An empty parking lot. A still chair lift. All covered in white, still snow.
72   EXT. CHAIR LIFT - LATER                                          72 | 
E | Lynch is sleeping. His head is leaned to one side in a position that is sure to give him the worst stiff neck he's ever had. Parker is ancy. She looks all around. Thinking. Finally she squeezes her eyes shut...embarrassed. Her snow pants turn dark around her bottom. Slowly a puddle of urine forms on the chair between her and Lynch. Below them, the urine falls into the snow and disappears. Parker's eyes swell as she begins to cry what's left of her tears. She is emotionally degraded and devastated.
80. | As her nose begins to run, she instinctively wipes her hand across it...taking a small piece of the dead flesh off of her cheek with it. She doesn't even feel it.
DISSOLVE TO: | 
R | Finally, Lynch stirs and checks Parker to see if she is still breathing. It appears she is not.
M | Nothing. LYNCH (cont'd) Parker wake up. He shakes her harder and she comes to with a gasp.
PARKER | 
D | What?
LYNCH | Shit, I thought you stopped breathing...
E | He notices her skinned cheek. Her ear tips are now completely blackened.
PARKER | What's wrong?
LYNCH | Nothing. She studies his eyes. Clearly something is very wrong. LYNCH (cont'd) How about you help me up again and we try and get out of here?
81. | 
PARKER | Yeah.
74   EXT. CHAIR LIFT - LATER                                      74 | From beneath the chair we see shards of ice and snow fall
X | onto the ground. Lynch is once again trying to maneuver himself up onto the chair back as Parker holds him steady.
OK.   1...2...3- | He hoists himself up onto the cable briefly, but after just a few seconds, he returns his feet to the chair back.
A | Parker holds onto his legs tightly. LYNCH (cont'd) I feel like I gained about 100 pounds overnight.
LYNCH | I have no strength.
PARKER | 
D | Then don't do this. Lynch tries again. He hoists himself up, but bails instantly...like a trainer giving up on his 100th pull up.
PARKER | Maybe later.
LYNCH | What? Like I'm gonna feel better if I wait a little longer? I should have done it last night while I still had some strength.
82. | 
PARKER | There's more snow fall on the ground and it's all fresh. Maybe the jump won't be as bad now.
LYNCH | Even if it was a foot deeper- it
X | wouldn't break that fall. I should have just climbed across last night. I had strength. I had adrenaline.
LYNCH | Nothing. Let's sit and do nothing.
A | She reaches into her pocket and removes her cigarettes. The box is damp, but the cigarettes inside are still dry. She starts to remove one but her gloved left hand and her numb right hand make her fumble the pack.
75   EXT. BELOW THE CHAIR - CONTINUOUS                               75 | The pack of cigarettes falls into the snow.
AHHHH! | 
HARD CUT TO: | 
PARKER | How come you never have a girlfriend?
LYNCH | How am I supposed to answer that?
83. | 
PARKER | I mean, you're a decent guy. Girls dig you. But you never stay in a relationship.
LYNCH | I had a serious girlfriend once.
LYNCH | 
R | No, post-high school. Freshmen year.
PARKER | Who?
M | totally just felt it with her, you know? We were into a lot of the same stuff, which was cool. She was way into Aerosmith. I had seen them fifteen times, she had seen them twenty. How cool is that?
PARKER | 
D | What happened?
LYNCH | She um... same favorite movie as me. E.T. It was like soul mates
E | and that stuff you read about.
PARKER | So then... what happened?
LYNCH | Same old shit. (then) No. You know what happened? She liked another guy. This fucking fraternity douchebag named Dean who kept sending her flowers and stuff. I don't know who it was exactly, but every time I'd go to her room some guy named "Dean" had left her notes and shit.
84. | 
PARKER | Why did she keep it? Was she trying to make you jealous?
LYNCH | I don't know. I think she just liked getting attention.
LYNCH | 
R | No. I dumped her. We were in the cafeteria, right? And I was sitting facing her, facing the wall...and she was facing everyone in the cafeteria behind me. And I
A | kept seeing her smiling at someone behind me and like, almost laughing. So I was like, "who are you laughing at?" You know? Like "what the hell is going on?" And she's like, "Dean's making fun of
M | you." (beat) So I turn around, and I'm like ready to kick the shit out of this guy. And all I see is a sea of fucking random people. Just all of these faces. This guy could see me and was making eyes with my
D | girlfriend...but I couldn't see him.
PARKER | That's messed up.
PARKER | You just walked out?
LYNCH | Yup. Told her to go laugh with "Dean the Frat guy". I was out.
PARKER | That sucks.
85. | 
LYNCH | Maybe... maybe I shouldn't have been so quick to walk out. Maybe I needed to have a thicker skin and not be such a sensitive bitch, I don't know. Sometimes I think I was just insecure and maybe I
X | screwed up.
PARKER | You should call her. When you get home. You could tell her that.
A | Emotion has fought it's way to the surface again. Parker andLynch share a nervous laugh together.She turns away from him.
M | After a few seconds, her laughs turn to tears.
PARKER | I should have done something.
LYNCH | There was nothing either of us could have done.
LYNCH | 
E | No, you didn't. We didn't let him die. There was nothing we could have done. He jumped down there to try and save us, OK?
PARKER | He was the one. He was the boy I was gonna marry.
LYNCH | Funny story. First grade, we all get left there for the day by our mom's. You know, alone in real school for the first time without our folks around. And Dan... Dan was this sort of chubby kid when he was little...
86. | Parker laughs. LYNCH (cont'd) Nah, fuck it. He was a fat ass.Parker laughs harder.
X | LYNCH (cont'd) And all the mom's left and he just wouldn't let go of his mom's hand. He just stood there after she left, at the front of the room, crying
R | like a total pussy.
PARKER | Sounds like Dan.
M | says, "Well Dan, is there anyone else in the class that you know?" You know, like, "Maybe there's a friend you'd like to sit with?" And the fucker points right at me and says "him"! I had never seen this kid before in my life, you know? But for whatever reason, he
D | points right at me.
PARKER | And so he had to sit with you?
PARKER | I loved him so much.Lynch is determined.
87. | 
LYNCH | But if he died only for you and me to give up and die up here, that's bullshit.
PARKER | Yes.
R | for Dan. Alright?
PARKER | Yes.
A | Lynch bites his severely chapped lips.
LYNCH | Help me up.
CUT TO: | 
LYNCH | 
D | OK....let's try this again. He steadies himself on the chair, which sways in the wind. TIGHT ON the bolts connecting the arm to the cables. The
E | metal is bending with a light squeaking sound.
PARKER | Are you OK? Do you have it? Lynch just grunts as he reaches and tries to steady himself on the chair that is swinging at an odd angle under his weight. The camera swivels up to reveal his shaky feet trying to find footing on the chair back and the ground far below him.
LYNCH | Rrruh! He pushes off hard and grabs on to the cabling.
88. | As his foot pushes fast on the chair, it swings at animpossible angle.TIGHT ON the connecting bolts as one of them SNAPS!
PARKER | Oh my god!
X | The chair leans hard to the right side, forcing Parker toslide down into what is now the bottom corner of the chair.The chair is still in place, but it is now hanging by one
A | Joe tries to look back over his shoulder, struggling to keephimself on the cable against his own body weight and wetclothing.
LYNCH | Shit! Hold on, just hold on!
M | Another grunt and Lynch makes another big move forward.The camera booms up above him, shooting straight down at thedistance between his dangling body and the frozen ground.Tight on his gloved hands as they slowly slide forward on themetal cable.
D | Lynch squeezes his eyes shut and takes another reach forward.Behind him, Parker looks on in agony. She is holding herbreath and whispering...
LYNCH | Rrrugh!
89. | 
